City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,vangaindrano,-23.35,47.6,22.67,92,100,1.9,MG,1675639654
225,zeya,53.75,127.2667,-27.67,98,85,0.75,RU,1675639655
226,fukue,32.6881,128.8419,9.2,71,0,1.54,JP,1675639655
227,lethem,3.3803,-59.7968,23.72,83,100,5.08,GY,1675639656
228,cedar falls,42.5278,-92.4455,-0.95,78,0,3.58,US,1675639591
229,inta,66.0317,60.1659,-13.28,95,99,4.61,RU,1675639656
230,meaford,44.6001,-80.583,2.36,83,100,5.9,CA,1675639657
231,manutuke,-38.6833,177.9167,19.42,85,100,2.42,NZ,1675639657
232,noumea,-22.2763,166.4572,32.99,99,86,2.93,NC,1675639288
233,savelugu,9.6244,-0.8253,30.78,14,98,2.73,GH,1675639658
234,tianpeng,30.9866,103.9393,12.07,77,86,1.21,CN,1675639658
235,dhrangadhra,22.9833,71.4667,19.13,55,0,3.89,IN,1675639659
236,caravelas,-17.7125,-39.2481,25.82,82,0,4.86,BR,1675639542
237,sinnamary,5.3833,-52.95,24.48,87,100,5.89,GF,1675639659
238,saint-philippe,-21.3585,55.7679,25.77,86,100,4.84,RE,1675639660
239,murakami,38.2333,139.4833,0.94,81,99,2.18,JP,1675639507
240,santa isabel do rio negro,-0.4139,-65.0192,23.17,97,99,1.62,BR,1675639661
241,canon city,38.441,-105.2424,14.83,21,17,5.48,US,1675639661
242,turan,16.0678,108.2208,22.99,94,75,1.03,VN,1675639662
243,dongsheng,39.8161,109.9776,-6.15,41,74,0.98,CN,1675639423
244,ilulissat,69.2167,-51.1,-16.99,85,100,9.77,GL,1675639662
245,fillan,63.6064,8.9696,3.69,83,100,7.98,NO,1675639663
246,akividu,16.6,81.3833,18.14,93,33,1.65,IN,1675639663
247,shenjiamen,29.9576,122.298,11.08,97,100,4.5,CN,1675639664
248,ballina,-28.8667,153.5667,27.23,70,53,2.69,AU,1675639664
249,asau,46.4333,26.4,-4.29,93,100,4.11,RO,1675639664
250,ipixuna,-1.7625,-48.8043,23.07,97,100,1.43,BR,1675639665
251,kruisfontein,-34.0033,24.7314,23.27,87,76,3.54,ZA,1675639665
252,pop,40.8736,71.1089,3.27,71,100,0.45,UZ,1675639666
253,san andres,12.5847,-81.7006,28.01,74,20,4.63,CO,1675639666
254,khatanga,71.9667,102.5,-37.12,99,57,2.89,RU,1675639667
255,goderich,43.7501,-81.7165,2.73,80,94,2.57,CA,1675639667
256,zambezi,-13.5432,23.1047,17.62,98,94,2.08,ZM,1675639668
257,baykit,61.67,96.37,-13.91,98,100,1.21,RU,1675639668
258,pouembout,-21.1333,164.9,31.57,65,100,2.43,NC,1675639668
259,hofn,64.2539,-15.2082,8.09,95,100,15.68,IS,1675639669
260,abu kamal,34.4506,40.9171,11.43,50,84,5.1,SY,1675639669
261,victoria,22.2855,114.1577,19.97,88,95,1.79,HK,1675639190
262,georgetown,5.4112,100.3354,25.96,98,20,1.03,MY,1675639400
263,homer,59.6425,-151.5483,2.94,80,100,9.77,US,1675639670
264,yaring,6.8662,101.3689,24.94,85,99,3.51,TH,1675639670
265,lavrentiya,65.5833,-171.0,-18.97,91,100,4.1,RU,1675639672
266,leon,21.1167,-101.6667,26.03,11,0,4.41,MX,1675639534
267,neiafu,-18.65,-173.9833,27.38,83,75,4.12,TO,1675639672
268,sobolevo,54.4299,31.8996,-6.0,95,100,2.34,RU,1675639673
269,biskamzha,53.4497,89.5272,-19.83,99,66,1.67,RU,1675639673
270,russkaya polyana,49.417,31.9201,-3.53,93,99,5.05,UA,1675639674
271,humaita,-7.5061,-63.0208,24.74,90,58,0.81,BR,1675639674
272,kodiak,57.79,-152.4072,3.73,100,100,3.09,US,1675639674
273,maragogi,-9.0122,-35.2225,26.16,82,18,3.43,BR,1675639675
274,sosnovo-ozerskoye,52.5249,111.5418,-24.0,99,95,2.79,RU,1675639675
275,bathsheba,13.2167,-59.5167,26.34,73,75,10.8,BB,1675639676
276,bandarbeyla,9.4942,50.8122,23.66,74,78,6.4,SO,1675639676
277,springbok,-29.6643,17.8865,18.99,58,38,0.34,ZA,1675639677
278,altamira,-3.2033,-52.2064,23.22,94,72,1.15,BR,1675639677
279,sovetskiy,61.3614,63.5842,-16.19,98,100,1.44,RU,1675639678
280,ammon,43.4696,-111.9666,1.28,88,100,10.29,US,1675639678
281,altamont,42.2068,-121.7372,4.87,84,100,5.14,US,1675639678
282,ponta delgada,37.7333,-25.6667,15.4,82,20,4.63,PT,1675639679
283,coxim,-18.5067,-54.76,25.12,84,100,0.75,BR,1675639679
284,taksimo,56.3444,114.8794,-17.94,89,100,2.11,RU,1675639680
285,marystown,47.1666,-55.1483,-4.24,75,86,7.55,CA,1675639680
286,bandeirantes,-23.11,-50.3675,21.3,89,26,1.31,BR,1675639681
287,los llanos de aridane,28.6585,-17.9182,13.96,64,75,4.63,ES,1675639681
288,mogadishu,2.0371,45.3438,24.75,82,9,8.93,SO,1675639681
289,lufilufi,-13.8745,-171.5986,32.88,76,51,4.64,WS,1675639682
290,kavaratti,10.5669,72.642,26.64,76,20,3.5,IN,1675639682
291,zhireken,52.8249,117.3076,-29.62,100,87,1.12,RU,1675639683
292,coahuayana,18.7333,-103.6833,29.17,48,0,2.51,MX,1675639683
293,soavinandriana,-19.1667,46.7333,14.72,97,100,1.79,MG,1675639684
294,tela,15.7833,-87.45,24.85,77,23,2.68,HN,1675639684
295,novo aripuana,-5.1206,-60.3797,23.77,94,84,0.98,BR,1675639684
296,zaranj,30.9667,61.8833,11.74,58,0,4.12,AF,1675639685
297,sorrento,40.626,14.3744,6.26,74,18,4.02,IT,1675639685
298,cockburn town,21.4612,-71.1419,25.26,81,0,10.35,TC,1675639686
299,haverhill,42.7762,-71.0773,7.4,54,0,1.54,US,1675639650
300,omboue,-1.5746,9.2618,25.49,85,75,2.15,GA,1675639686
301,kedougou,12.5579,-12.1743,27.83,15,87,1.11,SN,1675639687
302,ust-omchug,61.15,149.6333,-36.95,99,81,1.63,RU,1675639687
303,leningradskiy,69.3833,178.4167,-29.88,98,100,1.84,RU,1675639687
304,muswellbrook,-32.2667,150.9,23.21,56,2,1.82,AU,1675639688
305,vila franca do campo,37.7167,-25.4333,15.23,82,67,3.47,PT,1675639688
306,lagoa,39.05,-27.9833,15.13,84,99,4.54,PT,1675639689
307,sambava,-14.2667,50.1667,23.81,92,99,1.86,MG,1675639689
308,makakilo city,21.3469,-158.0858,27.18,63,20,9.26,US,1675639689
309,lucapa,-8.4192,20.7447,17.33,94,98,0.68,AO,1675639690
310,laguna,38.421,-121.4238,14.31,64,20,7.2,US,1675639690
311,lyubech,51.7026,30.6569,-4.86,94,100,4.23,UA,1675639691
312,dingle,10.9995,122.6711,23.68,93,46,3.38,PH,1675639691
313,garissa,-0.4536,39.6401,24.76,68,9,4.44,KE,1675639692
314,hirara,24.8,125.2833,22.15,83,75,6.17,JP,1675639692
